Source IP;Destination IP;Port;Protocol;Hits;;
10.192.100.12;192.240.133.12;2501;TCP;1;;
10.192.26.13;192.240.33.12;2502;TCP;862583;;
10.192.72.31;192.240.143.12;2511;TCP;862892;;
10.192.72.31;192.240.43.12;2512;TCP;15;;
10.192.154.12;192.240.123.12;2513;TCP;28;;
10.192.154.14;192.240.23.12;2514;TCP;2428;;
10.192.35.5;192.240.143.12;2525;TCP;828;;
10.192.35.5;192.240.43.12;2526;TCP;368980;;
10.192.35.5;192.240.153.12;2527;TCP;282876;;
10.192.35.5;192.240.53.12;2528;TCP;778;;
10.192.35.5;192.240.163.12;2529;TCP;7;;
10.192.72.132;192.240.63.12;2530;TCP;343;;
10.192.72.132;192.240.133.12;2501;TCP;556;;
10.192.72.132;192.240.33.12;2502;TCP;145;;
10.192.1.52;192.240.143.12;2511;TCP;2;;
10.192.176.35;192.240.43.12;2512;TCP;719;;
10.192.176.137;192.240.123.12;2513;TCP;99982;;
10.192.25.10;192.240.23.12;2514;TCP;130482;;
10.192.25.10;192.240.143.12;2525;TCP;5;;
10.192.25.10;192.240.43.12;2526;TCP;1;;
10.192.25.10;192.240.153.12;2527;TCP;679;;
10.192.25.10;192.240.53.12;2528;TCP;1;;
10.192.25.10;192.240.163.12;2529;TCP;1951;;
10.192.25.10;192.240.63.12;2530;TCP;1951;;
10.192.25.10;192.240.133.12;2501;TCP;230;;
10.192.25.10;192.240.33.12;2502;TCP;252;;
10.192.25.10;192.240.143.12;2511;TCP;227;;
10.192.25.10;192.240.43.12;2512;TCP;358;;
10.192.25.10;192.240.123.12;2513;TCP;314;;
10.192.32.138;192.240.23.12;2514;TCP;339;;
10.192.32.138;192.240.143.12;2525;TCP;248;;
10.192.176.137;192.240.43.12;2526;TCP;234;;
10.192.72.132;192.240.153.12;2527;TCP;12;;
10.192.72.132;192.240.53.12;2528;TCP;1;;
10.192.1.52;192.240.163.12;2529;TCP;2;;
10.192.176.35;192.240.63.12;2530;TCP;19820;;
10.192.176.137;192.240.133.12;2501;TCP;251735;;
10.192.25.10;192.240.33.12;2502;TCP;24590;;
10.193.82.1;192.240.143.12;2511;TCP;3;;
10.193.82.1;192.240.43.12;2512;TCP;1;;
10.193.82.1;192.240.123.12;2513;TCP;45426;;
10.193.82.10;192.240.23.12;2514;TCP;329;;
10.193.82.102;192.240.143.12;2525;TCP;2478;;
10.193.82.103;192.240.43.12;2526;TCP;60;;
10.193.82.111;192.240.153.12;2527;TCP;1427;;
10.193.82.115;192.240.53.12;2528;TCP;38;;
10.193.82.118;192.240.163.12;2529;TCP;190;;
10.193.82.12;192.240.63.12;2530;TCP;120;;
10.193.82.123;192.240.133.12;2501;TCP;32;;
10.193.82.125;192.240.33.12;2502;TCP;63084;;
10.193.82.126;192.240.143.12;2511;TCP;37;;
10.193.82.128;192.240.43.12;2512;TCP;37;;
10.193.82.13;192.240.123.12;2513;TCP;86289;;
10.193.82.131;192.240.23.12;2514;TCP;22;;
10.193.82.134;192.240.143.12;2525;TCP;9130;;
10.193.82.14;192.240.43.12;2526;TCP;225892;;
10.193.82.145;192.240.153.12;2527;TCP;218214;;
10.193.82.146;192.240.53.12;2528;TCP;221268;;
10.193.82.63;192.240.163.12;2529;TCP;339;;
10.193.82.63;192.240.63.12;2530;TCP;85;;
10.193.82.64;192.240.133.12;2501;TCP;63;;
10.193.82.65;192.240.33.12;2502;TCP;5;;
10.193.82.68;192.240.143.12;2511;TCP;935;;
10.193.82.68;192.240.43.12;2512;TCP;225;;
10.193.82.69;192.240.123.12;2513;TCP;2869;;
10.193.82.7;192.240.23.12;2514;TCP;221;;
10.193.82.71;192.240.143.12;2525;TCP;7534;;
10.193.82.73;192.240.43.12;2526;TCP;7668;;
10.193.82.74;192.240.153.12;2527;TCP;18712;;
10.193.82.77;192.240.53.12;2528;TCP;2864;;
10.193.82.77;192.240.163.12;2529;TCP;8;;
10.193.82.78;192.240.63.12;2530;TCP;110;;
10.193.82.78;10.199.99.134;3024;TCP;33;;
10.193.82.79;10.199.99.132;3016;TCP;72;;
10.193.82.8;10.199.99.134;3024;TCP;1712;;
10.193.82.8;10.199.99.136;3016;TCP;72;;
10.193.82.81;10.199.99.132;3016;TCP;9;;
10.193.82.85;10.199.99.134;3024;TCP;1940;;
10.199.181.82;10.199.99.136;3016;TCP;9;;
10.199.183.131;10.199.99.136;3016;TCP;289;;
10.199.183.132;10.199.99.134;3024;TCP;75;;
10.199.183.31;10.199.99.132;3016;TCP;658510;;
10.199.184.131;10.199.99.132;3016;TCP;105;;
10.199.184.131;10.199.99.134;3024;TCP;9;;
10.199.184.131;10.199.99.136;3016;TCP;9;;
10.199.213.178;10.199.99.134;3024;TCP;26;;
